Serial numbering for all 3 batches of 3.8s,Date Processed,Flavour,Status,Location,Destination,Number (in silkscreen),Batch,Scans taken?,Shorts on capacitors?,mass (g),hv cap height (mm),connector height (mm),top cu thickness (microns),bot cu thickness (microns),SLDO 1 (kOhms),SLDO 2,SLDO3,SLDO4,Vin drop (V),GND Drop (V),HV leakage (mV on readout card),NTC reading,Temp (°C) (@HV test),humidity (%) (@HV test),Vin drop with jig compensation,GND drop with jig compensation
20UPGPQ0024048,26/11/2020,Thin,PASS,Edinburgh,,48,4,yes,no,1.583,not tested,not tested,24,27,,,,,0.313,0.13,53.87,1.36,24,38,0.305,0.119
20UPGPQ0024046,26/11/2020,Thin,PASS,Edinburgh,,46,4,yes,no,1.604,not tested,not tested,23,26,,,,,0.344,0.33,51.9,1.34,24,38,0.336,0.319
20UPGPQ0024021,26/11/2020,Thin,PASS,Edinburgh,,21,4,yes,no,1.601,not tested,not tested,24,26,,,,,0.364,0.16,56.26,1.3,24,38,0.356,0.149
20UPGPQ0024022,26/11/2020,Thin,PASS,Edinburgh,,22,4,yes,no,1.606,not tested,not tested,25,25,,,,,0.344,0.13,50.77,1.24,24,38,0.336,0.119
20UPGPQ0024023,26/11/2020,Thin,PASS,Edinburgh,,23,4,yes,no,1.58,not tested,not tested,22,26,,,,,0.313,0.12,53.49,1.42,24,38,0.305,0.109
20UPGPQ0024011,26/11/2020,Thin,PASS,Edinburgh,,11,4,yes,no,1.533,not tested,not tested,25,25,,,,,0.373,0.15,54.3,1.43,24,38,0.365,0.139
20UPGPQ0024010,26/11/2020,Thin,PASS,Edinburgh,,10,4,yes,no,1.561,not tested,not tested,25,26,,,,,0.385,0.13,52.3,1.4,24,38,0.377,0.119
20UPGPQ0024009,26/11/2020,Thin,PASS,Edinburgh,,9,4,yes,no,1.548,not tested,not tested,25,25,,,,,0.343,0.12,44.27,1.39,24,38,0.335,0.109
20UPGPQ0024071,27/11/2020,Thin,PASS,Edinburgh,,71,4,yes,no,1.589,not tested,not tested,24,27,,,,,0.373,0.12,42.06,1.4,24,38,0.285,0.119
20UPGPQ0024020,27/11/2020,Thin,PASS,Edinburgh,,20,4,yes,no,1.561,not tested,not tested,20,25,,,,,0.374,0.15,39.12,1.39,24,38,0.366,0.139
20UPGPQ0024018,27/11/2020,Thin,FAIL,Edinburgh,,18,4,yes,no,1.578,not tested,not tested,24,26,,,,,0.353,2.38,50.3,1.9,24,38,0.345,2.369
20UPGPQ0024072,27/11/2020,Thin,PASS,Edinburgh,,72,4,yes,no,1.591,not tested,not tested,25,26,,,,,0.363,0.12,35.56,1.26,24,38,0.355,0.109
20UPGPQ0024070,27/11/2020,Thin,PASS,Edinburgh,,70,4,yes,no,1.623,not tested,not tested,24,30,,,,,0.393,0.13,35.45,1.44,24,38,0.385,0.119
20UPGPQ0024060,27/11/2020,Thin,PASS,Edinburgh,,60,4,yes,no,1.546,not tested,not tested,24,24,,,,,0.333,0.12,36.77,1.43,24,38,0.325,0.109
20UPGPQ0024059,27/11/2020,Thin,PASS,Edinburgh,,59,4,yes,no,1.534,not tested,not tested,25,25,,,,,0.353,0.13,48.91,1.45,24,38,0.345,0.119
20UPGPQ0024017,27/11/2020,Thin,PASS,Edinburgh,,17,4,yes,no,1.572,not tested,not tested,24,25,,,,,0.435,0.19,53.49,1.48,24,38,0.427,0.179
20UPGPQ0024054,27/11/2020,Thin,PASS,Edinburgh,,54,4,yes,no,1.575,not tested,not tested,25,27,,,,,0.334,0.14,49.01,1.47,24,38,0.427,0.179
20UPGPQ0024055,27/11/2020,Thin,PASS,Edinburgh,,55,4,yes,no,1.587,not tested,not tested,23,24,,,,,0.373,0.18,45.24,1.46,24,38,0.365,0.169
20UPGPQ0024056,27/11/2020,Thin,PASS,Edinburgh,,56,4,yes,no,1.588,not tested,not tested,23,24,,,,,0.345,0.14,46.27,1.44,24,38,0.337,0.129
20UPGPQ0024052,30/11/2020,Thin,PASS,Edinburgh,,52,4,yes,no,1.567,not tested,not tested,24,25,,,,,0.384,0.14,40.9,1.4,24,38,0.376,0.129
20UPGPQ0024051,30/11/2020,Thin,PASS,Edinburgh,,51,4,yes,no,1.547,not tested,not tested,24,24,,,,,0.394,0.14,38.73,1.39,24,38,0.386,0.129
