Serial numbering for all 3 batches of 3.8s,Date Processed,Flavour,Status,Location,Destination,Number (in silkscreen),Batch,Scans taken?,Shorts on capacitors?,mass (g),hv cap height (mm),connector height (mm),top cu thickness (microns),bot cu thickness (microns),SLDO 1 (kOhms),SLDO 2,SLDO3,SLDO4,Vin drop (V),GND Drop (V),HV leakage (mV on readout card),NTC reading,Temp (°C) (@HV test),humidity (%) (@HV test),Vin drop with jig compensation,GND drop with jig compensation
20UPGPQ0023043,11/09/2020,Thin,PASS,Argonne,,43,3,yes,no,1.607,not tested,not tested,25,27,,,,,0.333,0.12,66.94,1.4,22,52,0.325,0.109
20UPGPQ0021044,13/08/2020,Thin,PASS,Argonne,,44,1,yes,no,1.623,not tested,not tested,26,25,,,,,0.319,0.28,7,1.31,22,52,0.311,0.269
20UPGPQ0023044,09/09/2020,Thin,PASS,Edinburgh,,44,3,yes,reworked,1.631,not tested,not tested,28,28,,,,,0.353,0.13,30.63,1.4,22,52,0.345,0.119
20UPGPQ0021045,13/08/2020,Thin,PASS,Argonne,,45,1,yes,no,1.632,not tested,not tested,29,29,,,,,0.369,0.38,11,1.33,22,52,0.361,0.369
20UPGPQ0021046,13/08/2020,Thin,PASS,Argonne,,46,1,yes,no,1.622,not tested,not tested,29,28,,,,,0.329,0.33,9,1.32,22,52,0.321,0.319
20UPGPQ0021047,13/08/2020,Thin,PASS,Argonne,,47,1,yes,no,1.654,not tested,not tested,28,29,,,,,0.339,0.25,10,1.29,22,52,0.331,0.239
20UPGPQ0021048,13/08/2020,Thin,Fail,Glasgow,,48,1,yes,not tested,1.64,not tested,not tested,26,26,,,,,Not tested,Not tested,Not tested,Not tested,22,52,#VALUE!,#VALUE!
20UPGPQ0021054,16/09/2020,Thin,PASS,Argonne,,54,1,yes,no,1.647,not tested,not tested,24,27,,,,,0.323,0.11,68.19,1.45,22,52,0.315,0.099
20UPGPQ0021055,16/09/2020,Thin,PASS,Edinburgh,,55,1,yes,no,1.665,not tested,not tested,28,30,,,,,0.303,0.12,69.57,1.47,22,52,0.295,0.109
20UPGPQ0021061,09/09/2020,Thin,PASS,US,,61,1,yes,no,1.646,not tested,not tested,24,24,,,,,0.263,0.12,57.7,1.46,22,52,0.255,0.109
20UPGPQ0021062,14/09/2020,Thin,PASS,US,,62,1,yes,no,1.638,not tested,not tested,27,27,,,,,0.263,0.11,122.09,1.32,22,52,0.255,0.099
20UPGPQ0023062,23/09/2020,Thin,PASS,Edinburgh,,62,3,yes,reworked,1.634,not tested,not tested,25,27,,,,,0.324,0.13,32,1.43,22,52,0.316,0.119
20UPGPQ0021063,09/09/2020,Thin,PASS,Argonne,,63,1,yes,no,1.622,not tested,not tested,26,26,,,,,0.273,0.1,86.21,1.4,22,52,0.265,0.089
20UPGPQ0023063,23/09/2020,Thin,FAIL -Missing capacitors,Edinburgh,,63,3,yes,not tested,1.636,not tested,not tested,27,26,,,,,0.303,0.12,65.8,1.47,22,52,0.295,0.109
20UPGPQ0021064,09/09/2020,Thin,PASS,US,,64,1,yes,no,1.613,not tested,not tested,25,26,,,,,0.293,0.1,80.55,1.44,22,52,0.285,0.089
20UPGPQ0023064,23/09/2020,Thin,PASS,Edinburgh,,64,3,yes,no,1.629,not tested,not tested,26,27,,,,,0.333,0.12,28.28,1.38,22,52,0.325,0.109
20UPGPQ0021065,23/09/2020,Thin,PASS,Argonne,,65,1,yes,no,1.633,not tested,not tested,25,26,,,,,0.303,0.17,58.29,1.46,22,52,0.295,0.159
20UPGPQ0021066,23/09/2020,Thin,PASS,Argonne,,66,1,yes,no,1.651,not tested,not tested,26,27,,,,,0.283,0.13,50.98,1.5,22,52,0.275,0.119
20UPGPQ0021067,23/09/2020,Thin,PASS,US,,67,1,yes,no,1.645,not tested,not tested,28,28,,,,,0.293,0.17,98.85,1.43,22,52,0.285,0.159
20UPGPQ0021074,23/09/2020,Thin,PASS,Edinburgh,,74,1,yes,yes,1.655,not tested,not tested,28,27,,,,,0.303,0.43,77.82,1.45,22,52,0.295,0.419
20UPGPQ0021075,23/09/2020,Thin,PASS,Argonne,,75,1,yes,no,1.641,not tested,not tested,27,26,,,,,0.304,0.12,51.65,1.53,22,52,0.296,0.109
20UPGPQ0021076,23/09/2020,Thin,PASS,Argonne,,76,1,yes,no,1.66,not tested,not tested,28,27,,,,,0.293,0.13,71.4,1.31,22,52,0.285,0.119
20UPGPQ0021081,12/08/2020,Thin,PASS,Argonne,,81,1,yes,no,1.66,not tested,not tested,27,32,,,,,0.479,0.31,10,1.36,22,52,0.471,0.299
20UPGPQ0021082,12/08/2020,Thin,PASS,Edinburgh,,82,1,yes,no,1.671,not tested,not tested,27,30,,,,,0.393,0.15,80.79,1.46,22,52,0.385,0.139
20UPGPQ0021083,12/08/2020,Thin,PASS,argonne,,83,1,yes,no,1.636,not tested,not tested,26,28,,,,,0.54,0.36,15,1.32,22,52,0.532,0.349
20UPGPQ0021084,12/08/2020,Thin,PASS,US,,84,1,yes,no,1.647,not tested,not tested,25,29,,,,,0.403,0.19,95.65,1.42,22,52,0.395,0.179
20UPGPQ0021089,15/09/2020,Thin,PASS,argonne,,89,1,yes,no,1.62,not tested,not tested,25,25,,,,,0.272,0.1,107.71,1.37,22,52,0.264,0.089
20UPGPQ0021090,15/09/2020,Thin,PASS,argonne,,90,1,yes,no,1.633,not tested,not tested,25,28,,,,,0.303,0.11,95.84,1.38,22,52,0.295,0.099
20UPGPQ0021091,15/09/2020,Thin,PASS,US,,91,1,yes,no,1.621,not tested,not tested,26,26,,,,,0.282,0.11,94.24,1.37,22,52,0.274,0.099
20UPGPQ0021093,09/09/2020,Thin,PASS,US,,93,1,yes,no,1.636,not tested,not tested,28,28,,,,,0.283,0.12,53.84,1.44,22,52,0.275,0.109
20UPGPQ0021094,14/09/2020,Thin,PASS,argonne,,94,1,yes,no,1.616,not tested,not tested,25,27,,,,,0.272,0.12,93.41,1.4,22,52,0.264,0.109
20UPGPQ0021095,14/09/2020,Thin,PASS,argonne,,95,1,yes,no,1.646,not tested,not tested,26,29,,,,,0.273,0.1,102.49,1.36,22,52,0.265,0.089
20UPGPQ0021096,09/09/2020,Thin,PASS,Edinburgh,,96,1,yes,no,1.623,not tested,not tested,26,26,,,,,,,,,22,52,-0.008,-0.011
20UPGPQ0021097,09/09/2020,Thin,PASS,Argonne,,97,1,yes,no,1.652,not tested,not tested,27,28,,,,,0.334,0.18,70.62,1.49,22,52,0.326,0.169
20UPGPQ0021098,09/09/2020,Thin,PASS,US,,98,1,yes,no,1.659,not tested,not tested,28,29,,,,,0.363,0.14,78.59,1.45,22,52,0.355,0.129
20UPGPQ0021099,09/09/2020,Thin,PASS,US,,99,1,yes,no,1.635,not tested,not tested,26,29,,,,,0.363,0.13,65.45,1.49,22,52,0.355,0.119
20UPGPQ0021100,12/08/2020,Thin,PASS,argonne,,100,1,yes,no,1.642,not tested,not tested,27,28,,,,,0.36,0.18,66,1.5,22,52,0.352,0.169
20UPGPQ0021101,16/09/2020,Thin,PASS,argonne,,101,1,yes,no,1.644,not tested,not tested,25,25,,,,,0.335,0.13,69.13,1.47,22,52,0.327,0.119
20UPGPQ0021102,16/09/2020,Thin,PASS,argonne,,102,1,yes,no,1.631,not tested,not tested,23,26,,,,,0.324,0.11,69.81,1.48,22,52,0.316,0.099
20UPGPQ0021103,16/09/2020,Thin,PASS,US,,103,1,yes,no,1.63,not tested,not tested,24,26,,,,,0.373,0.14,81.85,1.39,22,52,0.365,0.129
20UPGPQ0021104,16/09/2020,Thin,PASS,US,,104,1,yes,no,1.614,not tested,not tested,25,26,,,,,0.313,0.1,82.21,1.41,22,52,0.305,0.089
20UPGPQ0021105,12/08/2020,Thin,PASS,US,,105,1,yes,no,1.618,not tested,not tested,27,26,,,,,0.303,0.12,74.62,1.35,22,52,0.295,0.109
20UPGPQ0021106,12/08/2020,Thin,FAIL,Glasgow,,106,1,yes,no,1.622,not tested,not tested,26,28,,,,,Not tested,Not tested,Not tested,Not tested,22,52,#VALUE!,#VALUE!
20UPGPQ0021107,07/09/2020,Thin,PASS,US,,107,1,yes,no,1.619,not tested,not tested,27,30,,,,,0.323,0.14,87.61,1.45,22,52,0.315,0.129
20UPGPQ0021108,12/08/2020,Thin,PASS,US,,108,1,yes,no,1.63,not tested,not tested,26,28,,,,,0.33,0.17,53.3,1.4,22,52,0.322,0.159
20UPGPQ0021109,07/09/2020,Thin,PASS,Argonne,,109,1,yes,reworked,1.605,not tested,not tested,24,25,,,,,0.363,0.26,98.44,1.41,22,52,0.355,0.249
20UPGPQ0021110,07/09/2020,Thin,PASS,Edinburgh,,110,1,yes,reworked,1.591,not tested,not tested,27,29,,,,,0.394,0.12,30.17,1.42,22,52,0.386,0.109
20UPGPQ0021111,20/09/2020,Thin,PASS,US,,111,1,yes,no,1.609,not tested,not tested,24,27,,,,,0.433,0.16,128.57,1.4,22,52,0.425,0.149
20UPGPQ0021112,20/09/2020,Thin,PASS,US,,112,1,yes,no,1.598,not tested,not tested,25,26,,,,,0.13,0.353,138.19,1.38,22,52,0.122,0.342
20UPGPQ0021117,20/09/2020,Thin,PASS,Glasgow,,117,1,yes,no,1.627,not tested,not tested,26,25,,,,,0.313,0.3,1,1.29,22,52,0.305,0.289
20UPGPQ0021118,07/09/2020,Thin,PASS,Glasgow,,118,1,yes,no,1.611,not tested,not tested,27,27,,,,,0.476,0.18,87.906,1.468,22,52,0.468,0.169
20UPGPQ0021119,12/08/2020,Thin,PASS,Glasgow,,119,1,yes,no,1.65,not tested,not tested,28,27,,,,,0.353,0.21,88.64,1.43,22,52,0.345,0.199
20UPGPQ0021120,12/08/2020,Thin,PASS,Edinburgh,,120,1,yes,no,1.636,not tested,not tested,28,26,,,,,,,,,22,52,-0.008,-0.011
20UPGPQ0021121,12/08/2020,Thin,PASS,Glasgow,,121,1,yes,no,1.666,not tested,not tested,30,30,,,,,0.348,0.14,92.096,1.45,22,52,0.34,0.129
20UPGPQ0021122,08/09/2020,Thin,PASS,Glasgow,,122,1,yes,no,1.669,not tested,not tested,29,28,,,,,0.333,0.12,94.32,1.44,22,52,0.325,0.109
20UPGPQ0021123,08/09/2020,Thin,PASS,Glasgow,,123,1,yes,no,1.657,not tested,not tested,30,29,,,,,0.343,0.17,106.83,1.38,22,52,0.335,0.159
20UPGPQ0021124,08/09/2020,Thin,PASS,Glasgow,,124,1,yes,no,1.656,not tested,not tested,30,30,,,,,0.313,0.13,99.81,1.42,22,52,0.305,0.119
20UPGPQ0021126,23/09/2020,Thin,PASS,Argonne,,126,1,yes,no,1.636,not tested,not tested,25,25,,,,,0.333,0.15,0.51,1.52,22,52,0.325,0.139
20UPGPQ0021127,23/09/2020,Thin,FAIL,Glasgow,,127,1,yes,not tested,1.647,not tested,not tested,26,27,,,,,Not tested,Not tested,Not tested,Not tested,22,52,#VALUE!,#VALUE!
20UPGPQ0021128,23/09/2020,Thin,PASS,argonne,,128,1,yes,no,1.615,not tested,not tested,26,26,,,,,0.313,0.14,66.85,1.42,22,52,0.305,0.129
20UPGPQ0021134,23/09/2020,Thin,PASS,Argonne,,134,1,yes,no,1.611,not tested,not tested,24,25,,,,,0.323,0.16,56.63,1.54,22,52,0.315,0.149
20UPGPQ0021135,23/09/2020,Thin,PASS,Argonne,,135,1,yes,no,1.625,not tested,not tested,25,25,,,,,0.283,0.11,58.19,1.5,22,52,0.275,0.099
20UPGPQ0021136,23/09/2020,Thin,PASS,US,,136,1,yes,no,1.599,not tested,not tested,22,24,,,,,0.303,0.13,65.86,1.48,22,52,0.295,0.119
20UPGPQ0021137,15/09/2020,Thin,PASS,Argonne,,137,1,yes,no,1.633,not tested,not tested,25,27,,,,,0.323,0.1,110.25,1.33,22,52,0.315,0.089
20UPGPQ0021138,15/09/2020,Thin,PASS,Argonne,,138,1,yes,no,1.643,not tested,not tested,25,26,,,,,0.312,0.13,112.54,1.27,22,52,0.304,0.119
20UPGPQ0021139,15/09/2020,Thin,PASS,argonne,,139,1,yes,no,1.648,not tested,not tested,28,29,,,,,0.293,0.13,94.22,1.43,22,52,0.285,0.119
20UPGPQ0021140,15/09/2020,Thin,PASS,argonne,,140,1,yes,no,1.646,not tested,not tested,28,29,,,,,0.343,0.11,88.51,1.42,22,52,0.335,0.099
20UPGPQ0021145,09/09/2020,Thin,PASS,US,,145,1,yes,no,1.604,not tested,not tested,25,25,,,,,0.293,0.18,82.61,1.45,22,52,0.285,0.169
20UPGPQ0021146,09/09/2020,Thin,PASS,Edinburgh,,146,1,yes,reworked,1.623,not tested,not tested,,,,,,,0.506,0.24,33.81,1.33,22,52,0.498,0.229
20UPGPQ0021147,09/09/2020,Thin,PASS,Argonne,,147,1,yes,no,1.596,not tested,not tested,27,26,,,,,0.323,0.15,83.05,1.44,22,52,0.315,0.139
20UPGPQ0021148,14/09/2020,Thin,PASS,Edinburgh,,148,1,yes,reworked,1.625,not tested,not tested,28,28,,,,,0.576,0.22,33.28,1.47,22,52,0.568,0.209
20UPGPQ0021159,,Thin,,,,159,1,yes,,,,,,,,,,,0.385,0.14,31.78,1.42,22.6,36,,
20UPGPQ0021160,15/09/2020,Thin,PASS,Argonne,,160,1,yes,no,1.618,not tested,not tested,25,26,,,,,0.293,0.12,95.64,1.4,22,52,0.285,0.109
20UPGPQ0021166,15/09/2020,Thin,PASS,Argonne,,166,1,yes,no,1.622,not tested,not tested,25,28,,,,,0.303,0.11,104.84,1.37,22,52,0.295,0.099
20UPGPQ0021167,15/09/2020,Thin,PASS,US,,167,1,yes,no,1.638,not tested,not tested,26,27,,,,,0.303,0.12,81.32,1.43,22,52,0.295,0.109
20UPGPQ0021168,,Thin,,,,168,1,,,,,,,,,,,,0.335,0.17,30.36,1.43,22.6,36,,
20UPGPQ0021169,12/08/2020,Thin,PASS,US,,169,1,yes,no,1.583,not tested,not tested,27,25,,,,,0.282,0.14,112.46,1.42,22,52,0.274,0.129
20UPGPQ0021170,12/08/2020,Thin,PASS,US,,170,1,yes,no,1.612,not tested,not tested,26,24,,,,,0.292,0.2,124.04,1.37,22,52,0.284,0.189
20UPGPQ0021171,12/08/2020,Thin,PASS,Edinburgh,,171,1,yes,reworked,1.607,not tested,not tested,27,26,,,,,0.363,0.12,33.38,1.38,22,52,0.355,0.109
20UPGPQ0021172,12/08/2020,Thin,PASS,US,,172,1,yes,no,1.639,not tested,not tested,28,27,,,,,0.273,0.09,115.6,1.41,22,52,0.265,0.079
20UPGPQ0021173,15/09/2020,Thin,PASS,US,,173,1,yes,no,1.639,not tested,not tested,26,28,,,,,0.323,0.11,85.03,1.44,22,52,0.315,0.099
20UPGPQ0021174,16/09/2020,Thin,PASS,Argonne,,174,1,yes,no,1.636,not tested,not tested,27,26,,,,,0.313,0.09,96.48,1.33,22,52,0.305,0.079
20UPGPQ0021175,16/09/2020,Thin,PASS,Argonne,,175,1,yes,no,1.658,not tested,not tested,29,27,,,,,0.303,0.1,67.56,1.45,22,52,0.295,0.089
20UPGPQ0021176,16/09/2020,Thin,PASS,US,,176,1,yes,no,1.653,not tested,not tested,29,25,,,,,0.312,0.11,78.86,1.42,22,52,0.304,0.099
20UPGPQ0021177,16/09/2020,Thin,PASS,Argonne,,177,1,yes,no,1.65,not tested,not tested,25,27,,,,,0.293,0.13,89.64,1.33,22,52,0.285,0.119
20UPGPQ0021178,16/09/2020,Thin,PASS,US,,178,1,yes,no,1.665,not tested,not tested,25,28,,,,,0.293,0.1,81.46,1.26,22,52,0.285,0.089
20UPGPQ0021179,15/09/2020,Thin,PASS,Argonne,,179,1,yes,no,1.663,not tested,not tested,25,28,,,,,0.313,0.13,82.28,1.44,22,52,0.305,0.119
20UPGPQ0012001,12/05/2020,Thick,PASS,LBL,,1,2,yes,not tested,1.776,1.96,1.43,32,32,"1.1497,231.626,1.0695,225.516","1.1495,231.720,1.0700,225.529","1.1499,231.600,1.0699,225.582","1.1497,231.586,1.0696,225.575",0.03,0.1,not tested,1.4,not tested,not tested,0.022,0.089
20UPGPQ0012002,12/05/2020,Thick,PASS,LBL,,2,2,yes,not tested,1.775,1.97,1.45,31,32,"1.1498,231.590,1.0699,225.570","1.1496,231.522,1.0697,225.579","1.1495,231.683,1.0696,225.676","1.150,231.543,1.0699,225.50",0.02,0.14,not tested,1.4,not tested,not tested,0.012,0.129
20UPGPQ0012003,12/05/2020,Thick,PASS,LBL,,3,2,yes,not tested,1.8,1.92,1.43,28,28,"1.1497,231.577,1.0694,225.516","1.1497,231.688,1.07,225.562","1.1491,231.716,1.0696,225.589","1.1498,231.626,1.0697,225.592",0.02,0.14,not tested,1.4,not tested,not tested,0.012,0.129
20UPGPQ0012004,12/05/2020,Thick,PASS,LBL,,4,2,yes,not tested,1.801,2,1.43,33,31,"1.1497,231.544,1.0696,225.594,","1.1496,231.612,1.0695,225.595","1.1496,231.839,1.0697,225.618","1.1498,231.622,1.0698,225.613",0.03,0.12,not tested,1.4,not tested,not tested,0.022,0.109
20UPGPQ0012005,12/05/2020,Thick,PASS,LBL,,5,2,yes,not tested,1.755,1.88,1.46,30,31,"1.1497,231.701,1.0697,225.621","1.1494,231.099,1.0697,225.704","1.1496,231.721,1.0696,225.609","1.1498,231.681,1.0699,225.609",0.02,0.11,not tested,1.4,not tested,not tested,0.012,0.099
20UPGPQ0012006,12/05/2020,Thick,PASS,LBL,,6,2,yes,not tested,1.738,1.91,1.43,32,32,"1.1496,231.605,1.070,225.578","1.1491,231.667,1.0695,225.634","1.1495,231.481,1.0698,225.66","1.1497,231.620,1.0700,225.601",0.02,0.11,not tested,1.4,not tested,not tested,0.012,0.099
20UPGPQ0012007,12/05/2020,Thick,PASS,LBL,,7,2,yes,not tested,1.767,1.87,1.42,30,29,"1.150,231.662,1.0696,225.589","1.1497,231.635,1.0697,225.622","1.1495,231.582,1.0695,225.545","1.1497,231.592,1.0695,225.646",0.01,0.09,not tested,1.4,not tested,not tested,0.002,0.079
20UPGPQ0012008,12/05/2020,Thick,PASS,LBL,,8,2,yes,not tested,1.771,1.88,1.41,31,30,"1.494,231.617,1.0697,225.517","1.1496,231.575,1.0696,225.551","1.1498,231.701,1.0697,225.640","1.1497,231.600,1.0698,225.559",0.01,0.15,not tested,1.4,not tested,not tested,0.002,0.139
20UPGPQ0012009,12/05/2020,Thick,PASS,LBL,,9,2,yes,not tested,1.72,1.85,1.42,31,30,"1.1494,231.593,1.0698,225.595,","1.1497,231.572,1.0695,225.541","1.1495,231.504,1.0696,225.627","1.1495,231.574,1.0696,225.425",0.01,0.11,not tested,1.4,not tested,not tested,0.002,0.099
20UPGPQ0012010,12/05/2020,Thick,PASS,LBL,,10,2,yes,not tested,1.722,1.9,1.4,29,30,"1.1497,231.628,1.069,225.661",",1.150,231.532,1.0707,225.6463","1.149,231.741,1.0698,225.593","1.1505,231.601,1.0698225.581",0.01,0.11,not tested,1.4,not tested,not tested,0.002,0.099
20UPGPQ0012011,12/05/2020,Thick,PASS,LBL,,11,2,yes,not tested,1.727,1.91,1.43,33,31,"1.1496,231.663,1.0694,225.788","1.1495,231.798,1.0695,225.648","1.1496,231.518,1.0696,225.710","1.150,231.645,1.0696,225.651",0.01,0.1,not tested,1.4,not tested,not tested,0.002,0.089
20UPGPQ0012012,12/05/2020,Thick,PASS,LBL,,12,2,yes,not tested,1.738,1.86,1.41,31,31,"1.1497,231.699,1.0695,225.506","1.1496,231.685,1.0703,225.654","1.1496,231.590,1.0695,225.655","1.150,231.730,1.0696,225.62",0.01,0.1,not tested,1.4,not tested,not tested,0.002,0.089
20UPGPQ0012013,13/08/2020,Thick,PASS,Liverpool,,13,2,yes,not tested,1.798,not tested,not tested,29,29,,,,,,,,,not tested,not tested,-0.008,-0.011
20UPGPQ0012014,13/08/2020,Thick,PASS,Liverpool,,14,2,yes,not tested,1.722,not tested,not tested,28,31,,,,,,,,,not tested,not tested,-0.008,-0.011
20UPGPQ0012015,13/08/2020,Thick,PASS,Liverpool,,15,2,yes,not tested,1.732,not tested,not tested,30,29,,,,,,,,,not tested,not tested,-0.008,-0.011
20UPGPQ0012016,13/08/2020,Thick,PASS,Liverpool,,16,2,yes,not tested,1.725,not tested,not tested,29,28,,,,,,,,,not tested,not tested,-0.008,-0.011
20UPGPQ0012017,13/08/2020,Thick,FAIL,Glasgow,,17,2,yes,not tested,1.781,not tested,not tested,32,34,,,,,0.262,0.36,,1.22,not tested,not tested,0.254,0.349
20UPGPQ0012018,13/08/2020,Thick,FAIL,Glasgow,,18,2,yes,not tested,1.798,not tested,not tested,33,31,,,,,,,,,not tested,not tested,-0.008,-0.011
20UPGPQ0012019,13/08/2020,Thick,Fail-Vin Lines shorting,Edinburgh,,19,2,yes,not tested,1.775,not tested,not tested,32,32,,,,,0.34,0.273,,1.33,not tested,not tested,0.332,0.262
20UPGPQ0012020,13/08/2020,Thick,PASS,Glasgow,,20,2,yes,not tested,1.789,not tested,not tested,31,33,,,,,0.21,0.263,,1.34,not tested,not tested,0.202,0.252
20UPGPQ0012021,11/08/2020,Thick,PASS,Glasgow,,21,2,yes,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,0.289,0.24,not tested,1.36,not tested,not tested,0.281,0.229
20UPGPQ0012022,11/08/2020,Thick,PASS,Glasgow,,22,2,yes,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,not tested,0.319,0.26,not tested,1.36,not tested,not tested,0.311,0.249
20UPGPQ0012023,11/08/2020,Thick,PASS,Glasgow,,23,2,yes,not tested,1.786,not tested,not tested,32,35,"1.15,231.3,1.07,225.4",,,,0.268,0.24,not tested,1.36,not tested,not tested,0.26,0.229
20UPGPQ0012024,11/08/2020,Thick,PASS,Glasgow,,24,2,yes,not tested,1.789,not tested,not tested,33,32,,,,,0.309,0.28,not tested,1.37,not tested,not tested,0.301,0.269
20UPGPQ0012025,04/11/2020,Thick,Pass,Glasgow,,25,2,yes,no,not tested,not tested,not tested,31,29,,,,,0.293,0.13,,1.15,not tested,not tested,0.285,0.119
20UPGPQ0012029,11/08/2020,Thick,PASS,Glasgow,,29,2,yes,not tested,1.701,not tested,not tested,29,29,"1.15,231.4,1.07,225.4",,,,0.289,0.21,not tested,1.32,not tested,not tested,0.281,0.199
20UPGPQ0012030,11/08/2020,Thick,PASS,Glasgow,,30,2,yes,not tested,1.691,not tested,not tested,28,29,,,,,0.339,0.25,not tested,1.32,not tested,not tested,0.331,0.239
20UPGPQ0012031,11/08/2020,Thick,PASS,LBL,,31,2,yes,not tested,1.705,not tested,not tested,28,32,,,,,0.289,0.26,not tested,1.34,not tested,not tested,0.281,0.249
20UPGPQ0012032,11/08/2020,Thick,PASS,Glasgow,,32,2,yes,not tested,1.697,not tested,not tested,30,28,,,,,0.319,0.3,not tested,1.31,not tested,not tested,0.311,0.289
20UPGPQ0012033,11/08/2020,Thick,PASS,Edinburgh,,33,2,yes,not tested,1.662,not tested,not tested,30,29,"1.149,231.4,1.069,225.3",,,,,,not tested,not tested,not tested,not tested,-0.008,-0.011
20UPGPQ0012034,11/08/2020,Thick,PASS,Edinburgh,,34,2,yes,not tested,1.655,not tested,not tested,30,30,,,,,,,not tested,not tested,not tested,not tested,-0.008,-0.011
20UPGPQ0012035,11/08/2020,Thick,PASS,Edinburgh,,35,2,yes,not tested,1.634,not tested,not tested,29,27,,,,,,,not tested,not tested,not tested,not tested,-0.008,-0.011
20UPGPQ0012036,11/08/2020,Thick,PASS,Liverpool,,36,2,yes,not tested,1.639,not tested,not tested,29,28,,,,,,,not tested,not tested,not tested,not tested,-0.008,-0.011
20UPGPQ0012037,11/08/2020,Thick,PASS,LBL,,37,2,yes,not tested,1.625,not tested,not tested,29,26,"1.15,231.4,1.07,225.6",,,,0.298,0.27,not tested,1.34,not tested,not tested,0.29,0.259
20UPGPQ0012039,11/08/2020,Thick,PASS,Goettingen,,39,2,yes,not tested,1.619,not tested,not tested,27,26,,,,,0.31,0.26,not tested,1.33,not tested,not tested,0.302,0.249
20UPGPQ0012040,11/08/2020,Thick,PASS,Goettingen,,40,2,yes,not tested,1.601,not tested,not tested,28,27,,,,,0.309,0.24,not tested,1.33,not tested,not tested,0.301,0.229
20UPGPQ0012041,11/08/2020,Thick,PASS,LBL,,41,2,yes,not tested,1.655,1.61,not tested,28,28,,,,,0.278,0.25,not tested,1.35,not tested,not tested,0.27,0.239
20UPGPQ0012042,11/08/2020,Thick,PASS,LBL,,42,2,yes,not tested,1.679,1.66,not tested,28,26,"1.149,231.5,1.07,225.4",,,,0.299,0.25,not tested,1.34,not tested,not tested,0.291,0.239
20UPGPQ0012043,11/08/2020,Thick,PASS,LBL,,43,2,yes,not tested,1.656,1.64,not tested,31,29,,,,,0.278,0.26,not tested,1.32,not tested,not tested,0.27,0.249
20UPGPQ0012044,11/08/2020,Thick,PASS,LBL,,44,2,yes,not tested,1.667,1.61,not tested,31,29,,,,,0.298,0.27,not tested,1.26,not tested,not tested,0.29,0.259
20UPGPQ0012045,11/08/2020,Thick,PASS,LBL,,45,2,yes,not tested,1.655,1.47,not tested,27,26,,,,,0.289,0.25,not tested,1.28,not tested,not tested,0.281,0.239
20UPGPQ0012046,11/08/2020,Thick,PASS,LBL,,46,2,yes,not tested,1.647,1.62,not tested,29,29,"1.15,231.4,1.07,225.6,",,,,0.319,0.27,not tested,1.37,not tested,not tested,0.311,0.259
20UPGPQ0012047,11/08/2020,Thick,PASS,LBL,,47,2,yes,not tested,1.648,1.66,not tested,28,28,,,,,0.319,0.25,not tested,1.36,not tested,not tested,0.311,0.239
20UPGPQ0012048,11/08/2020,Thick,PASS,LBL,,48,2,yes,not tested,1.639,1.6,not tested,27,27,,,,,0.278,0.26,not tested,1.35,not tested,not tested,0.27,0.249
20UPGPQ0012049,11/08/2020,Thick,PASS,LBL,,49,2,yes,not tested,1.676,1.66,not tested,26,27,,,,,0.309,0.26,not tested,1.33,not tested,not tested,0.301,0.249
