VPX14757-W773_Stability_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STABILITY
SENSOR_ST_SN: ???
component: 20USBSL0000773
date: 07.05.2019
TIME: 14:55:10
institution:
passed: false
problems: false
runNumber: 12
SENSOR_STA_LEN: 40h
SENSOR_STA_SETV: -500V
SENSOR_STA_MU: Keithley 2410
4 2643 (Not sure what this is, but this is ignored since no colon)
%%SENSOR_STA_TIME/%[s] %%SENSOR_STA_TEMP/%[�C] %%SENSOR_STA_HUM/%[%] %%SENSOR_STA_CURRENT/%[nA]
0006302.00 0000020.50 0000009.94 -000424.53
0006332.00 0000020.50 0000009.94 -000424.23
0006393.00 0000020.49 0000009.90 -000424.27
0006454.00 0000020.48 0000009.87 -000423.87
0006515.00 0000020.48 0000009.87 -000423.78
0006606.00 0000020.50 0000009.87 -000423.97
0006758.00 0000020.54 0000009.87 -000423.50
0007032.00 0000020.61 0000009.73 -000423.67
0007154.00 0000020.67 0000009.66 -000423.91
0007306.00 0000020.69 0000009.59 -000424.09
0007458.00 0000020.62 0000009.59 -000423.52
0007489.00 0000020.60 0000009.52 -000423.44
0007519.00 0000020.60 0000009.52 -000423.17
0007550.00 0000020.58 0000009.52 -000423.12
0007580.00 0000020.56 0000009.45 -000423.02
0007611.00 0000020.54 0000009.48 -000422.68
0007671.00 0000020.52 0000009.44 -000422.61
0007732.00 0000020.50 0000009.44 -000422.61
0007824.00 0000020.52 0000009.44 -000422.48
0007976.00 0000020.54 0000009.38 -000422.01
0008067.00 0000020.55 0000009.38 -000422.20
0008158.00 0000020.58 0000009.31 -000421.99
0008250.00 0000020.60 0000009.27 -000422.27
0008402.00 0000020.66 0000009.24 -000422.30
0008433.00 0000020.66 0000009.17 -000422.46
0008554.00 0000020.70 0000009.10 -000422.52
0008615.00 0000020.69 0000009.10 -000423.89
0008676.00 0000020.67 0000009.10 -000422.27
0008767.00 0000020.61 0000009.09 -000422.20
0008919.00 0000020.51 0000009.02 -000421.32
0008980.00 0000020.48 0000009.02 -000421.24
0009132.00 0000020.47 0000009.02 -000420.95
0009376.00 0000020.50 0000009.02 -000420.51
0009528.00 0000020.53 0000008.95 -000420.45
0009620.00 0000020.55 0000008.95 -000420.48
0009650.00 0000020.56 0000008.95 -000422.70
0009741.00 0000020.58 0000009.24 -000420.65
0009894.00 0000020.61 0000009.31 -000421.19
0010168.00 0000020.49 0000009.73 -000420.26
0010198.00 0000020.48 0000009.80 -000420.51
0010228.00 0000020.46 0000009.87 -000419.99
0010259.00 0000020.44 0000009.94 -000420.02
0010320.00 0000020.40 0000010.01 -000419.83
0010381.00 0000020.40 0000010.08 -000419.61
0010442.00 0000020.39 0000010.18 -000419.31
0010502.00 0000020.39 0000010.29 -000419.57
0010594.00 0000020.40 0000010.43 -000419.28
0010746.00 0000020.42 0000010.64 -000419.30
0010868.00 0000020.44 0000010.75 -000419.58
0011020.00 0000020.48 0000010.92 -000419.34
0011172.00 0000020.52 0000011.07 -000419.64
0011324.00 0000020.53 0000011.24 -000419.63
0011477.00 0000020.43 0000011.48 -000419.02
0011507.00 0000020.41 0000011.48 -000418.72
0011537.00 0000020.40 0000011.55 -000419.03
0011568.00 0000020.36 0000011.59 -000418.68
0011598.00 0000020.35 0000011.62 -000418.53
0011659.00 0000020.34 0000011.69 -000418.39
0011750.00 0000020.32 0000011.83 -000418.38
0011903.00 0000020.31 0000011.97 -000418.13
0011933.00 0000020.32 0000012.04 -000417.97
0012085.00 0000020.34 0000012.18 -000417.81
0012177.00 0000020.36 0000012.25 -000417.98
0012298.00 0000020.39 0000012.32 -000417.80
0012390.00 0000020.42 0000012.40 -000418.10
0012542.00 0000020.46 0000012.54 -000417.92
0012725.00 0000020.51 0000012.61 -000418.33
0012785.00 0000020.48 0000012.68 -000418.39
0012877.00 0000020.44 0000012.82 -000418.12
0012908.00 0000020.42 0000012.82 -000417.92
0012938.00 0000020.40 0000012.89 -000417.99
0012969.00 0000020.38 0000012.88 -000417.88
0012999.00 0000020.36 0000012.95 -000417.65
0013029.00 0000020.33 0000012.95 -000417.72
0013090.00 0000020.30 0000013.02 -000417.60
0013121.00 0000020.29 0000013.02 -000417.43
0013182.00 0000020.28 0000013.09 -000417.18
0013212.00 0000020.28 0000013.09 -000417.03
0013243.00 0000020.26 0000013.16 -000417.04
0013303.00 0000020.26 0000013.23 -000416.99
0013395.00 0000020.27 0000013.30 -000416.80
0013516.00 0000020.27 0000013.37 -000416.51
0013547.00 0000020.28 0000013.37 -000416.60
0013608.00 0000020.30 0000013.44 -000416.80
0013699.00 0000020.31 0000013.44 -000416.88
0013791.00 0000020.33 0000013.51 -000417.08
0013882.00 0000020.36 0000013.58 -000416.69
0014034.00 0000020.40 0000013.62 -000417.04
0014125.00 0000020.42 0000013.69 -000417.17
0014217.00 0000020.45 0000013.73 -000417.37
0014308.00 0000020.48 0000013.73 -000417.44
0014460.00 0000020.48 0000013.87 -000417.23
0014612.00 0000020.38 0000013.97 -000416.92
0014643.00 0000020.37 0000014.00 -000417.13
0014673.00 0000020.36 0000014.07 -000416.94
0014704.00 0000020.33 0000014.07 -000416.64
0014734.00 0000020.32 0000014.07 -000416.57
0014765.00 0000020.30 0000014.07 -000416.48
0014826.00 0000020.28 0000014.14 -000416.21
0014886.00 0000020.26 0000014.14 -000416.36
0014978.00 0000020.28 0000014.21 -000416.42
0015008.00 0000020.26 0000014.24 -000415.89
0015099.00 0000020.25 0000014.28 -000416.24
0015252.00 0000020.28 0000014.38 -000416.10
0015526.00 0000020.34 0000014.45 -000416.16
0015587.00 0000020.35 0000014.49 -000416.26
0015648.00 0000020.36 0000014.49 -000416.33
0015739.00 0000020.38 0000014.56 -000416.41
0015830.00 0000020.40 0000014.56 -000416.19
0015952.00 0000020.43 0000014.56 -000416.45
0016013.00 0000020.45 0000014.60 -000416.56
0016074.00 0000020.45 0000014.63 -000416.65
0016135.00 0000020.47 0000014.63 -000416.82
0016165.00 0000020.48 0000014.63 -000417.03
0016196.00 0000020.48 0000014.63 -000416.95
0016257.00 0000020.50 0000014.71 -000416.97
0016348.00 0000020.47 0000014.77 -000416.87
0016470.00 0000020.39 0000014.84 -000416.55
0016500.00 0000020.36 0000014.87 -000416.57
0016531.00 0000020.34 0000014.87 -000416.32
0016561.00 0000020.32 0000014.91 -000416.41
0016592.00 0000020.30 0000014.90 -000416.11
0016622.00 0000020.29 0000014.90 -000416.01
0016683.00 0000020.27 0000014.97 -000415.91
0016744.00 0000020.26 0000014.97 -000415.69
0016805.00 0000020.25 0000014.97 -000415.80
0016865.00 0000020.25 0000015.04 -000415.48
0016926.00 0000020.25 0000015.04 -000415.78
0017018.00 0000020.26 0000015.08 -000415.61
0017170.00 0000020.27 0000015.11 -000415.68
0017231.00 0000020.28 0000015.15 -000415.46
0017352.00 0000020.30 0000015.18 -000415.77
0017383.00 0000020.32 0000015.18 -000415.91
0017444.00 0000020.32 0000015.18 -000415.74
0017535.00 0000020.35 0000015.19 -000415.83
0017657.00 0000020.39 0000015.22 -000416.08
0017748.00 0000020.41 0000015.26 -000415.90
0017870.00 0000020.42 0000015.26 -000416.25
0017961.00 0000020.44 0000015.26 -000416.10
0017992.00 0000020.44 0000015.26 -000416.42
0018022.00 0000020.46 0000015.26 -000416.47
0018053.00 0000020.47 0000015.26 -000416.45
0018113.00 0000020.48 0000015.26 -000416.71
0018144.00 0000020.48 0000015.26 -000416.78
0018205.00 0000020.50 0000015.33 -000416.64
0018235.00 0000020.53 0000015.33 -000417.08
0018296.00 0000020.54 0000015.33 -000417.04
0018388.00 0000020.46 0000015.40 -000416.71
0018509.00 0000020.38 0000015.46 -000416.51
0018570.00 0000020.34 0000015.46 -000416.23
0018601.00 0000020.33 0000015.50 -000416.30
0018662.00 0000020.30 0000015.53 -000416.50
0018753.00 0000020.26 0000015.53 -000416.17
0018783.00 0000020.26 0000015.53 -000415.81
0018814.00 0000020.26 0000015.53 -000415.92
0018844.00 0000020.27 0000015.60 -000415.63
0018905.00 0000020.25 0000015.60 -000415.87
0018996.00 0000020.26 0000015.60 -000415.74
0019148.00 0000020.26 0000015.67 -000415.52
0019240.00 0000020.29 0000015.67 -000415.63
0019392.00 0000020.30 0000015.67 -000415.64
0019453.00 0000020.32 0000015.67 -000415.89
0019605.00 0000020.33 0000015.74 -000415.98
0019696.00 0000020.34 0000015.74 -000415.94
0019849.00 0000020.37 0000015.74 -000415.95
0019970.00 0000020.40 0000015.74 -000416.11
0020123.00 0000020.40 0000015.74 -000416.36
0020214.00 0000020.43 0000015.75 -000416.39
0020275.00 0000020.45 0000015.75 -000416.29
0020336.00 0000020.44 0000015.75 -000416.58
0020397.00 0000020.46 0000015.78 -000416.53
0020488.00 0000020.47 0000015.82 -000416.76
0020549.00 0000020.48 0000015.75 -000416.52
0020640.00 0000020.50 0000015.78 -000416.93
0020701.00 0000020.50 0000015.78 -000417.07
0020731.00 0000020.51 0000015.78 -000417.12
0020762.00 0000020.51 0000015.75 -000417.11
0020823.00 0000020.53 0000015.82 -000417.06
0020914.00 0000020.54 0000015.82 -000417.28
0020944.00 0000020.54 0000015.82 -000417.48
0020975.00 0000020.54 0000015.82 -000417.51
0021036.00 0000020.54 0000015.79 -000417.56
0021067.00 0000020.54 0000015.79 -000417.69
0021127.00 0000020.56 0000015.79 -000417.68
0021219.00 0000020.56 0000015.82 -000417.82
0021279.00 0000020.56 0000015.82 -000417.92
0021371.00 0000020.59 0000015.82 -000418.05
0021401.00 0000020.60 0000015.82 -000418.06
0021432.00 0000020.59 0000015.82 -000418.22
0021493.00 0000020.60 0000015.82 -000418.13
0021523.00 0000020.60 0000015.82 -000418.58
0021553.00 0000020.62 0000015.82 -000418.65
0021614.00 0000020.60 0000015.82 -000418.55
0021645.00 0000020.60 0000015.82 -000418.80
0021706.00 0000020.62 0000015.82 -000418.49
0021736.00 0000020.62 0000015.82 -000419.01
0021766.00 0000020.62 0000015.82 -000419.12
0021827.00 0000020.63 0000015.82 -000418.82
0021888.00 0000020.63 0000015.82 -000419.24
0021949.00 0000020.64 0000015.83 -000419.04
0022041.00 0000020.64 0000015.83 -000419.30
0022101.00 0000020.66 0000015.83 -000419.53
0022193.00 0000020.66 0000015.83 -000419.57
0022223.00 0000020.66 0000015.83 -000419.81
0022254.00 0000020.68 0000015.83 -000419.91
0022284.00 0000020.66 0000015.83 -000420.10
0022314.00 0000020.66 0000015.83 -000420.07
0022345.00 0000020.68 0000015.83 -000420.15
0022406.00 0000020.68 0000015.83 -000420.21
0022497.00 0000020.68 0000015.86 -000420.43
0022649.00 0000020.68 0000015.83 -000420.73
0022680.00 0000020.68 0000015.90 -000420.75
0022710.00 0000020.69 0000015.86 -000420.89
0022741.00 0000020.68 0000015.86 -000420.89
0022801.00 0000020.70 0000015.86 -000420.82
0022832.00 0000020.69 0000015.86 -000421.16
0022863.00 0000020.71 0000015.90 -000421.12
0022893.00 0000020.70 0000015.90 -000421.34
0022954.00 0000020.70 0000015.90 -000421.25
0022984.00 0000020.70 0000015.90 -000421.49
0023015.00 0000020.72 0000015.90 -000421.54
0023076.00 0000020.71 0000015.90 -000421.43
0023167.00 0000020.70 0000015.97 -000421.81
0023228.00 0000020.68 0000016.00 -000421.89
0023289.00 0000020.64 0000016.03 -000421.74
0023380.00 0000020.54 0000016.10 -000421.42
0023410.00 0000020.51 0000016.10 -000421.03
0023441.00 0000020.49 0000016.10 -000420.87
0023471.00 0000020.47 0000016.13 -000420.98
0023502.00 0000020.45 0000016.16 -000420.72
0023562.00 0000020.42 0000016.16 -000420.81
0023593.00 0000020.41 0000016.16 -000420.39
0023654.00 0000020.37 0000016.16 -000420.62
0023745.00 0000020.36 0000016.16 -000420.38
0023776.00 0000020.36 0000016.16 -000420.34
0023837.00 0000020.34 0000016.16 -000420.38
0023897.00 0000020.35 0000016.16 -000420.13
0023958.00 0000020.34 0000016.23 -000420.13
0024050.00 0000020.36 0000016.23 -000420.34
0024202.00 0000020.35 0000016.23 -000420.34
0024293.00 0000020.37 0000016.30 -000419.85
0024445.00 0000020.38 0000016.30 -000420.01
0024719.00 0000020.40 0000016.30 -000420.04
0024750.00 0000020.41 0000016.30 -000419.86
0025024.00 0000020.44 0000016.30 -000420.02
0025328.00 0000020.44 0000016.34 -000420.41
0025602.00 0000020.46 0000016.30 -000420.12
0025724.00 0000020.47 0000016.30 -000420.37
0025998.00 0000020.49 0000016.34 -000420.26
0026150.00 0000020.49 0000016.30 -000420.41
