VPX14757-W773_Striptest_001.dat
Hamamatsu ATLAS12 VPX14757 W773
project: S
componentType: SENSOR
testType: SENSOR_STRIP_TEST
component: 20USBSL0000773
date: 06.06.2019
runNumber: 12
SENSOR_TEST_TT: 11:08:09
SENSOR_TEST_SN: ???
passed: false
problems: false
institution: GL
Full Strip Test - Segment	1
SENSOR_TEST_VB: -150
SENSOR_TEST_FREQ: 1
W-K6440B,
SENSOR_TEST_MU: Keithley 2410
SENSOR_TEST_TEMP: 19.1
SENSOR_TEST_HUMIDITY: 45.6
5: 1280
%%SENSOR_TEST_PPI/% %%SENSOR_TEST_CURRENT/% %%SENSOR_TEST_CAP/% %%SENSOR_TEST_RES/%
0000119.00 0000000.81 0000066.61 0000001.38
0000120.00 0000001.12 0000068.16 0000001.38
0000121.00 0000000.95 0000066.49 0000001.38
0000122.00 0000001.89 0000067.74 0000001.39
0000123.00 0000000.43 0000066.58 0000001.38
0000124.00 0000000.73 0000067.92 0000001.38
0000125.00 0000000.13 0000066.42 0000001.39
0000126.00 0000001.87 0000067.74 0000001.39
0000127.00 0000000.43 0000065.95 0000001.39
0000128.00 0000000.05 0000067.05 0000001.39
0000129.00 0000001.18 0000065.80 0000001.38
0000130.00 0000001.07 0000067.53 0000001.36
0000131.00 0000000.87 0000066.62 0000001.36
0000132.00 0000000.44 0000068.42 0000001.35
0000133.00 0000000.27 0000066.92 0000001.36
0000134.00 0000000.67 0000068.47 0000001.36
0000135.00 0000000.67 0000067.02 0000001.36
0000136.00 0000000.25 0000069.09 0000001.36
0000137.00 0000000.53 0000066.70 0000001.37
0000138.00 0000001.58 0000068.13 0000001.37
0000139.00 0000000.64 0000066.69 0000001.37
0000140.00 0000000.84 0000068.24 0000001.36
0000141.00 0000000.33 0000066.66 0000001.37
0000142.00 0000004.30 0000068.18 0000001.37
0000143.00 0000000.77 0000066.80 0000001.37
0000144.00 0000001.14 0000068.89 0000001.37
0000145.00 0000000.87 0000066.55 0000001.37
0000146.00 0000004.21 0000067.89 0000001.38
0000147.00 0000000.49 0000066.50 0000001.38
0000148.00 0000000.81 0000068.06 0000001.38
0000149.00 0000000.76 0000066.54 0000001.38
0000150.00 0000001.81 0000068.10 0000001.38
0000151.00 0000000.76 0000066.58 0000001.38
0000152.00 0000001.22 0000068.00 0000001.37
0000153.00 0000000.85 0000066.41 0000001.38
0000154.00 0000002.01 0000067.67 0000001.39
0000155.00 0000000.30 0000066.41 0000001.38
0000156.00 0000000.82 0000067.73 0000001.38
0000157.00 0000000.19 0000066.28 0000001.38
0000158.00 0000001.65 0000067.70 0000001.38
0000159.00 0000000.53 0000065.98 0000001.39
0000160.00 0000000.13 0000066.97 0000001.38
0000161.00 0000001.41 0000065.75 0000001.37
0000162.00 0000000.86 0000067.55 0000001.36
0000163.00 0000000.89 0000066.51 0000001.36
0000164.00 0000000.38 0000068.42 0000001.35
0000165.00 0000000.02 0000066.74 0000001.36
0000166.00 0000000.52 0000068.36 0000001.36
0000167.00 0000000.41 0000066.89 0000001.36
0000168.00 0000000.01 0000069.00 0000001.36
0000169.00 0000000.49 0000066.62 0000001.37
0000170.00 0000001.38 0000068.00 0000001.37
0000171.00 0000000.93 0000066.50 0000001.37
0000172.00 0000000.88 0000068.18 0000001.36
0000173.00 0000000.08 0000066.57 0000001.37
0000174.00 0000004.28 0000068.09 0000001.37
0000175.00 0000000.47 0000066.61 0000001.37
0000176.00 0000001.03 0000068.80 0000001.37
0000177.00 0000000.87 0000066.34 0000001.38
0000178.00 0000004.03 0000067.81 0000001.38
0000179.00 0000000.76 0000066.36 0000001.38
0000180.00 0000000.78 0000067.89 0000001.37
0000181.00 0000000.60 0000066.36 0000001.38
0000182.00 0000001.81 0000067.89 0000001.38
0000183.00 0000000.54 0000066.43 0000001.38
0000184.00 0000000.95 0000067.83 0000001.37
0000185.00 0000000.89 0000066.32 0000001.38
0000186.00 0000002.09 0000067.48 0000001.38
0000187.00 0000000.21 0000066.23 0000001.38
0000188.00 0000000.42 0000067.58 0000001.38
0000189.00 0000000.07 0000066.14 0000001.38
0000190.00 0000001.73 0000067.47 0000001.38
0000191.00 0000000.24 0000065.69 0000001.38
0000192.00 0000000.02 0000066.84 0000001.38
0000193.00 0000001.26 0000065.72 0000001.38
0000194.00 0000000.96 0000067.41 0000001.36
0000195.00 0000000.85 0000066.40 0000001.36
0000196.00 0000000.63 0000068.21 0000001.34
